feature,label
"[10, 73, 59, 21, 22, 48, 30, 108, 44, 104]","tensor([0., 1.])"
"[22, 40, 56, 84, 95, 93, 94, 91, 32, 68]","tensor([0., 1.])"
"[93, 67, 75, 22, 9, 65, 106, 91, 26, 42]","tensor([1., 0.])"
"[6, 14, 55, 40, 75, 4, 21, 70, 121, 85]","tensor([1., 0.])"
"[94, 26, 84, 29, 11, 21, 56, 9, 71, 35]","tensor([1., 0.])"
"[85, 67, 20, 37, 32, 14, 112, 84, 11, 19]","tensor([1., 0.])"
"[22, 120, 54, 30, 84, 35, 1, 34, 73, 72]","tensor([1., 0.])"
"[62, 138, 129, 26, 32, 70, 94, 55, 119, 84]","tensor([0., 1.])"
"[106, 80, 62, 35, 83, 20, 68, 4, 101, 50]","tensor([1., 0.])"
"[105, 84, 90, 30, 32, 99, 56, 123, 36, 66]","tensor([1., 0.])"
"[86, 123, 22, 2, 67, 95, 135, 9, 5, 74]","tensor([0., 1.])"
"[51, 8, 27, 85, 11, 62, 40, 22, 114, 26]","tensor([0., 1.])"
"[22, 87, 67, 51, 37, 68, 64, 39, 18, 28]","tensor([0., 1.])"
"[12, 70, 7, 83, 27, 72, 35, 3, 14, 68]","tensor([1., 0.])"
"[7, 2, 26, 6, 35, 67, 14, 101, 109, 105]","tensor([0., 1.])"
"[98, 120, 121, 100, 71, 49, 70, 27, 73, 21]","tensor([1., 0.])"
"[73, 5, 27, 106, 42, 126, 90, 100, 30, 1]","tensor([1., 0.])"
"[83, 31, 12, 84, 9, 100, 138, 77, 13, 105]","tensor([0., 1.])"
"[11, 44, 27, 95, 75, 20, 6, 62, 104, 47]","tensor([0., 1.])"
"[9, 14, 13, 10, 87, 100, 104, 98, 44, 5]","tensor([1., 0.])"
"[44, 68, 2, 5, 35, 15, 84, 19, 6, 14]","tensor([1., 0.])"
"[93, 11, 96, 91, 112, 54, 71, 7, 138, 14]","tensor([1., 0.])"
"[13, 89, 81, 137, 63, 30, 4, 41, 70, 19]","tensor([0., 1.])"
"[93, 86, 21, 128, 129, 73, 70, 71, 36, 27]","tensor([0., 1.])"
"[37, 34, 100, 138, 9, 62, 49, 35, 84, 70]","tensor([1., 0.])"
"[34, 87, 93, 6, 53, 107, 56, 27, 114, 84]","tensor([0., 1.])"
"[35, 6, 64, 14, 22, 42, 20, 30, 49, 2]","tensor([0., 1.])"
"[9, 28, 84, 6, 52, 15, 14, 93, 31, 22]","tensor([0., 1.])"
"[11, 21, 67, 53, 30, 84, 28, 12, 59, 14]","tensor([1., 0.])"
"[126, 73, 123, 98, 56, 14, 75, 42, 5, 9]","tensor([0., 1.])"
"[99, 53, 27, 30, 56, 50, 104, 63, 39, 110]","tensor([0., 1.])"
"[85, 44, 45, 86, 93, 126, 71, 13, 4, 56]","tensor([0., 1.])"
"[84, 104, 100, 14, 93, 32, 29, 35, 26, 65]","tensor([1., 0.])"
"[119, 10, 9, 52, 51, 128, 64, 7, 42, 135]","tensor([1., 0.])"
"[54, 81, 21, 6, 43, 84, 114, 26, 27, 59]","tensor([0., 1.])"
"[20, 56, 32, 68, 129, 73, 138, 112, 45, 37]","tensor([1., 0.])"
"[98, 84, 34, 93, 45, 53, 11, 56, 14, 19]","tensor([0., 1.])"
"[25, 26, 111, 137, 40, 31, 114, 81, 76, 30]","tensor([0., 1.])"
"[70, 5, 119, 76, 2, 30, 25, 88, 104, 56]","tensor([1., 0.])"
"[96, 9, 21, 44, 40, 8, 5, 20, 14, 6]","tensor([0., 1.])"
"[31, 113, 99, 106, 85, 37, 14, 17, 56, 84]","tensor([1., 0.])"
"[29, 8, 30, 62, 22, 14, 6, 78, 21, 35]","tensor([1., 0.])"
"[126, 98, 12, 9, 64, 32, 44, 7, 138, 105]","tensor([1., 0.])"
"[13, 26, 102, 38, 6, 2, 106, 30, 31, 14]","tensor([0., 1.])"
"[2, 44, 128, 14, 94, 56, 8, 137, 33, 84]","tensor([1., 0.])"
"[8, 31, 20, 84, 29, 32, 75, 5, 108, 72]","tensor([0., 1.])"
"[11, 75, 50, 123, 32, 67, 137, 84, 56, 138]","tensor([1., 0.])"
"[86, 39, 60, 14, 8, 73, 32, 6, 16, 5]","tensor([0., 1.])"
"[93, 35, 2, 5, 85, 75, 27, 81, 54, 34]","tensor([0., 1.])"
"[14, 104, 8, 84, 62, 74, 88, 82, 128, 93]","tensor([0., 1.])"
"[83, 34, 14, 20, 42, 7, 5, 93, 2, 36]","tensor([1., 0.])"
"[101, 44, 102, 105, 84, 56, 36, 107, 85, 120]","tensor([1., 0.])"
"[11, 5, 85, 62, 113, 136, 17, 87, 67, 96]","tensor([1., 0.])"
"[41, 57, 84, 74, 120, 96, 27, 22, 8, 123]","tensor([1., 0.])"
"[56, 102, 40, 84, 32, 75, 85, 14, 93, 19]","tensor([1., 0.])"
"[46, 100, 89, 86, 9, 106, 114, 73, 123, 32]","tensor([0., 1.])"
"[70, 6, 74, 26, 14, 32, 93, 56, 41, 36]","tensor([1., 0.])"
"[48, 30, 57, 32, 37, 41, 2, 8, 33, 138]","tensor([1., 0.])"
"[14, 33, 44, 102, 16, 34, 114, 21, 41, 98]","tensor([1., 0.])"
"[123, 37, 16, 84, 76, 72, 14, 87, 22, 69]","tensor([1., 0.])"
"[87, 5, 8, 94, 43, 89, 101, 40, 113, 12]","tensor([0., 1.])"
"[104, 1, 26, 27, 113, 86, 97, 44, 114, 101]","tensor([0., 1.])"
"[26, 136, 14, 6, 39, 16, 84, 102, 120, 93]","tensor([0., 1.])"
"[33, 102, 22, 21, 104, 128, 8, 14, 103, 43]","tensor([1., 0.])"
"[84, 138, 30, 27, 32, 93, 114, 20, 34, 75]","tensor([1., 0.])"
"[75, 93, 7, 87, 97, 95, 59, 86, 21, 2]","tensor([0., 1.])"
"[126, 26, 10, 95, 54, 137, 44, 20, 62, 34]","tensor([0., 1.])"
"[74, 121, 88, 1, 60, 30, 2, 27, 35, 113]","tensor([0., 1.])"
"[27, 14, 41, 29, 74, 97, 44, 85, 68, 86]","tensor([1., 0.])"
"[6, 16, 105, 103, 104, 59, 84, 114, 100, 35]","tensor([0., 1.])"
"[6, 30, 35, 20, 49, 42, 21, 8, 37, 64]","tensor([1., 0.])"
"[35, 87, 25, 14, 99, 59, 31, 47, 86, 6]","tensor([1., 0.])"
"[121, 101, 67, 40, 65, 25, 9, 46, 85, 35]","tensor([1., 0.])"
"[59, 11, 60, 82, 14, 108, 17, 10, 119, 102]","tensor([0., 1.])"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([0., 1.])"
"[22, 16, 27, 84, 67, 9, 111, 69, 6, 54]","tensor([0., 1.])"
"[69, 101, 85, 6, 106, 128, 56, 62, 123, 76]","tensor([1., 0.])"
"[1, 8, 64, 99, 53, 67, 31, 50, 106, 97]","tensor([1., 0.])"
"[25, 82, 9, 56, 1, 84, 6, 22, 90, 67]","tensor([0., 1.])"
"[104, 6, 68, 11, 14, 62, 26, 105, 93, 76]","tensor([0., 1.])"
"[12, 18, 91, 34, 40, 106, 10, 26, 14, 37]","tensor([0., 1.])"
"[2, 87, 44, 6, 30, 35, 93, 64, 99, 84]","tensor([1., 0.])"
